model,mask_rate,MAE,RMSE,MAPE,num_masked
GAT_L1_LR0.0001_GNN200_GRU200_H1_D0.2,10%,21.785374,35.748642,108.347916,191184
GAT_L1_LR0.0001_GNN200_GRU200_H1_D0.2,20%,22.18061,37.93105,112.68304,382392
GAT_L1_LR0.0001_GNN200_GRU200_H1_D0.2,30%,22.520882,37.993793,118.153046,573600
GAT_L1_LR0.0001_GNN200_GRU200_H2_D0.2,10%,24.3324,37.31661,141.03516,191184
GAT_L1_LR0.0001_GNN200_GRU200_H2_D0.2,20%,24.58299,39.17961,140.17303,382392
GAT_L1_LR0.0001_GNN200_GRU200_H2_D0.2,30%,24.672634,37.022392,143.00801,573600
GAT_L1_LR0.0001_GNN200_GRU300_H1_D0.2,10%,22.431421,37.946644,114.28738,191184
GAT_L1_LR0.0001_GNN200_GRU300_H1_D0.2,20%,23.335274,37.10864,120.174515,382392
GAT_L1_LR0.0001_GNN200_GRU300_H1_D0.2,30%,24.220495,38.505142,126.80769,573600
GAT_L1_LR0.0001_GNN200_GRU300_H2_D0.2,10%,22.694273,37.7886,113.77328,191184
GAT_L1_LR0.0001_GNN200_GRU300_H2_D0.2,20%,23.402699,39.170628,119.4165,382392
GAT_L1_LR0.0001_GNN200_GRU300_H2_D0.2,30%,23.973877,37.37127,125.59515,573600
GAT_L1_LR0.0001_GNN300_GRU200_H1_D0.2,10%,20.618614,37.66791,110.477066,191184
GAT_L1_LR0.0001_GNN300_GRU200_H1_D0.2,20%,20.811937,37.207375,113.24518,382392
GAT_L1_LR0.0001_GNN300_GRU200_H1_D0.2,30%,21.173954,37.018406,115.83498,573600
GAT_L1_LR0.0001_GNN300_GRU200_H2_D0.2,10%,22.370728,34.63134,119.06645,191184
GAT_L1_LR0.0001_GNN300_GRU200_H2_D0.2,20%,22.826332,37.238316,121.80793,382392
GAT_L1_LR0.0001_GNN300_GRU200_H2_D0.2,30%,23.229527,37.178352,125.74874,573600
GAT_L1_LR0.0001_GNN300_GRU300_H1_D0.2,10%,22.481174,37.868282,118.40454,191184
GAT_L1_LR0.0001_GNN300_GRU300_H1_D0.2,20%,22.939432,37.03825,121.905754,382392
GAT_L1_LR0.0001_GNN300_GRU300_H1_D0.2,30%,23.410353,36.514385,127.08446,573600
GAT_L1_LR0.0001_GNN300_GRU300_H2_D0.2,10%,21.861853,35.617672,113.24352,191184
GAT_L1_LR0.0001_GNN300_GRU300_H2_D0.2,20%,22.350044,38.280155,118.28338,382392
GAT_L1_LR0.0001_GNN300_GRU300_H2_D0.2,30%,22.880417,37.486656,123.33601,573600
GAT_L1_LR0.0002_GNN200_GRU200_H1_D0.2,10%,22.057772,36.90428,121.067085,191184
GAT_L1_LR0.0002_GNN200_GRU200_H1_D0.2,20%,22.658573,38.351097,124.68206,382392
GAT_L1_LR0.0002_GNN200_GRU200_H1_D0.2,30%,23.107985,36.15821,129.64473,573600
GAT_L1_LR0.0002_GNN200_GRU200_H2_D0.2,10%,20.97319,35.713432,114.448105,191184
GAT_L1_LR0.0002_GNN200_GRU200_H2_D0.2,20%,21.604067,35.76637,117.59902,382392
GAT_L1_LR0.0002_GNN200_GRU200_H2_D0.2,30%,22.24309,36.361843,122.02784,573600
GAT_L1_LR0.0002_GNN200_GRU300_H1_D0.2,10%,24.680378,40.210293,138.67729,191184
GAT_L1_LR0.0002_GNN200_GRU300_H1_D0.2,20%,24.758589,36.869606,142.25378,382392
GAT_L1_LR0.0002_GNN200_GRU300_H1_D0.2,30%,24.88929,36.595795,144.96733,573600
GAT_L1_LR0.0002_GNN200_GRU300_H2_D0.2,10%,24.458218,37.496727,119.467865,191184
GAT_L1_LR0.0002_GNN200_GRU300_H2_D0.2,20%,25.826096,38.659065,131.16643,382392
GAT_L1_LR0.0002_GNN200_GRU300_H2_D0.2,30%,27.166353,40.173656,143.45834,573600
GAT_L1_LR0.0002_GNN300_GRU200_H1_D0.2,10%,23.363798,36.84869,126.443375,191184
GAT_L1_LR0.0002_GNN300_GRU200_H1_D0.2,20%,23.956987,36.624928,131.54735,382392
GAT_L1_LR0.0002_GNN300_GRU200_H1_D0.2,30%,24.408695,37.978752,135.53052,573600
GAT_L1_LR0.0002_GNN300_GRU200_H2_D0.2,10%,21.73705,36.620056,121.40291,191184
GAT_L1_LR0.0002_GNN300_GRU200_H2_D0.2,20%,22.349604,36.85971,125.140724,382392
GAT_L1_LR0.0002_GNN300_GRU200_H2_D0.2,30%,22.885118,36.44027,129.12997,573600
GAT_L1_LR0.0002_GNN300_GRU300_H1_D0.2,10%,25.127022,37.641525,139.48746,191184
GAT_L1_LR0.0002_GNN300_GRU300_H1_D0.2,20%,25.45558,38.166187,140.90681,382392
GAT_L1_LR0.0002_GNN300_GRU300_H1_D0.2,30%,25.757723,38.39452,143.6992,573600
GAT_L1_LR0.0002_GNN300_GRU300_H2_D0.2,10%,21.758686,36.403175,114.0736,191184
GAT_L1_LR0.0002_GNN300_GRU300_H2_D0.2,20%,22.738966,36.47327,118.29054,382392
GAT_L1_LR0.0002_GNN300_GRU300_H2_D0.2,30%,23.82258,37.438118,125.06263,573600
GAT_L3_LR0.0001_GNN200_GRU200_H1_D0.2,10%,19.356674,36.282192,110.75482,191184
GAT_L3_LR0.0001_GNN200_GRU200_H1_D0.2,20%,19.714127,35.368103,112.031105,382392
GAT_L3_LR0.0001_GNN200_GRU200_H1_D0.2,30%,20.030363,36.470848,115.05286,573600
GAT_L3_LR0.0001_GNN200_GRU200_H2_D0.2,10%,19.082634,37.131348,119.64535,191184
GAT_L3_LR0.0001_GNN200_GRU200_H2_D0.2,20%,20.224615,35.950027,126.20299,382392
GAT_L3_LR0.0001_GNN200_GRU200_H2_D0.2,30%,21.278088,35.713867,131.61342,573600
GAT_L3_LR0.0001_GNN200_GRU300_H1_D0.2,10%,19.578985,33.576622,114.97692,191184
GAT_L3_LR0.0001_GNN200_GRU300_H1_D0.2,20%,20.307373,35.83823,120.04006,382392
GAT_L3_LR0.0001_GNN200_GRU300_H1_D0.2,30%,20.87345,35.22364,124.39554,573600
GAT_L3_LR0.0001_GNN300_GRU200_H1_D0.2,10%,18.74904,34.80723,101.33722,191184
GAT_L3_LR0.0001_GNN300_GRU200_H1_D0.2,20%,19.15321,37.07027,103.07257,382392
GAT_L3_LR0.0001_GNN300_GRU200_H1_D0.2,30%,19.337494,36.71405,105.03479,573600
GAT_L3_LR0.0001_GNN300_GRU200_H2_D0.2,10%,18.70324,34.909027,112.370995,191184
GAT_L3_LR0.0001_GNN300_GRU200_H2_D0.2,20%,19.338583,35.842136,115.37126,382392
GAT_L3_LR0.0001_GNN300_GRU200_H2_D0.2,30%,19.854612,35.63396,117.43126,573600
GAT_L3_LR0.0002_GNN200_GRU200_H1_D0.2,10%,20.385902,37.017365,119.20886,191184
GAT_L3_LR0.0002_GNN200_GRU200_H1_D0.2,20%,20.989067,35.51847,124.667786,382392
GAT_L3_LR0.0002_GNN200_GRU200_H1_D0.2,30%,21.587675,36.136505,128.4364,573600
GAT_L3_LR0.0002_GNN200_GRU200_H2_D0.2,10%,18.971636,34.192547,118.431496,191184
GAT_L3_LR0.0002_GNN200_GRU200_H2_D0.2,20%,19.428907,36.569653,119.27582,382392
GAT_L3_LR0.0002_GNN200_GRU200_H2_D0.2,30%,19.675201,36.27865,121.788956,573600
GAT_L3_LR0.0002_GNN200_GRU300_H1_D0.2,10%,20.318953,35.765774,125.31563,191184
GAT_L3_LR0.0002_GNN200_GRU300_H1_D0.2,20%,21.346848,34.679794,132.36038,382392
GAT_L3_LR0.0002_GNN200_GRU300_H1_D0.2,30%,22.47956,36.884853,140.29897,573600
GAT_L3_LR0.0002_GNN300_GRU200_H1_D0.2,10%,21.27198,37.807655,121.44744,191184
GAT_L3_LR0.0002_GNN300_GRU200_H1_D0.2,20%,22.199484,36.493134,129.13864,382392
GAT_L3_LR0.0002_GNN300_GRU200_H1_D0.2,30%,23.108128,37.49149,136.01605,573600
GAT_L3_LR0.0002_GNN300_GRU200_H2_D0.2,10%,18.842594,38.03847,130.20027,191184
GAT_L3_LR0.0002_GNN300_GRU200_H2_D0.2,20%,18.302067,37.23055,128.32399,382392
GAT_L3_LR0.0002_GNN300_GRU200_H2_D0.2,30%,17.876629,35.515255,124.00212,573600
GraphSAGE_L1_LR0.0001_GNN200_GRU200_H1_D0.2,10%,38.10779,50.65705,101.31488,191184
GraphSAGE_L1_LR0.0001_GNN200_GRU200_H1_D0.2,20%,42.14127,54.513615,129.4534,382392
GraphSAGE_L1_LR0.0001_GNN200_GRU200_H1_D0.2,30%,45.315628,55.999004,165.75682,573600
GraphSAGE_L1_LR0.0001_GNN200_GRU300_H1_D0.2,10%,38.378613,51.74323,97.08317,191184
GraphSAGE_L1_LR0.0001_GNN200_GRU300_H1_D0.2,20%,42.76636,54.82298,124.66503,382392
GraphSAGE_L1_LR0.0001_GNN200_GRU300_H1_D0.2,30%,46.27226,57.347393,158.88878,573600
GraphSAGE_L1_LR0.0001_GNN300_GRU200_H1_D0.2,10%,29.946136,43.565887,84.73865,191184
GraphSAGE_L1_LR0.0001_GNN300_GRU200_H1_D0.2,20%,32.220585,44.81912,101.61595,382392
GraphSAGE_L1_LR0.0001_GNN300_GRU200_H1_D0.2,30%,33.955814,44.678394,126.10043,573600
GraphSAGE_L1_LR0.0001_GNN300_GRU300_H1_D0.2,10%,47.00189,59.04236,123.015915,191184
GraphSAGE_L1_LR0.0001_GNN300_GRU300_H1_D0.2,20%,52.847652,66.15822,161.9101,382392
GraphSAGE_L1_LR0.0001_GNN300_GRU300_H1_D0.2,30%,57.52139,68.743515,212.71533,573600
GraphSAGE_L1_LR0.0002_GNN200_GRU200_H1_D0.2,10%,42.86023,56.40274,104.29244,191184
GraphSAGE_L1_LR0.0002_GNN200_GRU200_H1_D0.2,20%,49.217358,62.21287,139.03195,382392
GraphSAGE_L1_LR0.0002_GNN200_GRU200_H1_D0.2,30%,54.133793,65.799385,181.57008,573600
GraphSAGE_L1_LR0.0002_GNN200_GRU300_H1_D0.2,10%,39.708294,53.51567,101.4987,191184
GraphSAGE_L1_LR0.0002_GNN200_GRU300_H1_D0.2,20%,45.076324,57.53954,130.85532,382392
GraphSAGE_L1_LR0.0002_GNN200_GRU300_H1_D0.2,30%,49.255707,60.189194,165.94907,573600
GraphSAGE_L1_LR0.0002_GNN300_GRU200_H1_D0.2,10%,34.260876,46.752575,89.255066,191184
GraphSAGE_L1_LR0.0002_GNN300_GRU200_H1_D0.2,20%,38.45243,50.667694,110.235535,382392
GraphSAGE_L1_LR0.0002_GNN300_GRU200_H1_D0.2,30%,41.57117,52.62683,137.90485,573600
GraphSAGE_L1_LR0.0002_GNN300_GRU300_H1_D0.2,10%,42.938015,56.76139,99.13991,191184
GraphSAGE_L1_LR0.0002_GNN300_GRU300_H1_D0.2,20%,51.186775,64.41091,132.8243,382392
GraphSAGE_L1_LR0.0002_GNN300_GRU300_H1_D0.2,30%,57.546844,70.49904,177.32265,573600
GraphSAGE_L3_LR0.0001_GNN200_GRU200_H1_D0.2,10%,30.9515,44.36091,72.66825,191184
GraphSAGE_L3_LR0.0001_GNN200_GRU200_H1_D0.2,20%,36.767925,49.229553,84.81212,382392
GraphSAGE_L3_LR0.0001_GNN200_GRU200_H1_D0.2,30%,41.174274,54.518665,101.616394,573600
GraphSAGE_L3_LR0.0001_GNN200_GRU300_H1_D0.2,10%,28.667715,44.392746,67.107956,191184
GraphSAGE_L3_LR0.0001_GNN200_GRU300_H1_D0.2,20%,34.938904,49.271687,78.64245,382392
GraphSAGE_L3_LR0.0001_GNN200_GRU300_H1_D0.2,30%,39.804653,53.35319,96.96744,573600
GraphSAGE_L3_LR0.0001_GNN300_GRU200_H1_D0.2,10%,31.072945,46.849777,72.20451,191184
GraphSAGE_L3_LR0.0001_GNN300_GRU200_H1_D0.2,20%,37.978703,51.247036,87.87386,382392
GraphSAGE_L3_LR0.0001_GNN300_GRU200_H1_D0.2,30%,42.545055,55.881668,104.68596,573600
GraphSAGE_L3_LR0.0001_GNN300_GRU300_H1_D0.2,10%,30.968758,44.089615,73.64297,191184
GraphSAGE_L3_LR0.0001_GNN300_GRU300_H1_D0.2,20%,38.171257,51.92749,84.55615,382392
GraphSAGE_L3_LR0.0001_GNN300_GRU300_H1_D0.2,30%,43.381332,57.009315,103.1879,573600
GraphSAGE_L3_LR0.0002_GNN200_GRU200_H1_D0.2,10%,35.49608,50.68801,87.29018,191184
GraphSAGE_L3_LR0.0002_GNN200_GRU200_H1_D0.2,20%,44.373276,57.723595,117.09207,382392
GraphSAGE_L3_LR0.0002_GNN200_GRU200_H1_D0.2,30%,50.856026,63.89843,159.34772,573600
GraphSAGE_L3_LR0.0002_GNN200_GRU300_H1_D0.2,10%,36.953224,51.361977,94.331406,191184
GraphSAGE_L3_LR0.0002_GNN200_GRU300_H1_D0.2,20%,46.405186,60.60468,124.09314,382392
GraphSAGE_L3_LR0.0002_GNN200_GRU300_H1_D0.2,30%,53.928032,67.276634,169.4033,573600
GraphSAGE_L3_LR0.0002_GNN300_GRU200_H1_D0.2,10%,29.935406,43.788036,71.94994,191184
GraphSAGE_L3_LR0.0002_GNN300_GRU200_H1_D0.2,20%,33.549053,46.70567,79.95149,382392
GraphSAGE_L3_LR0.0002_GNN300_GRU200_H1_D0.2,30%,35.91055,48.337986,88.17446,573600
GraphSAGE_L3_LR0.0002_GNN300_GRU300_H1_D0.2,10%,32.391315,47.115074,94.10607,191184
GraphSAGE_L3_LR0.0002_GNN300_GRU300_H1_D0.2,20%,43.65317,57.749382,120.71186,382392
GraphSAGE_L3_LR0.0002_GNN300_GRU300_H1_D0.2,30%,52.874344,67.26607,156.95831,573600
